[LOG] System::create                           :     Header version = 1.10.11. Current version = 1.10.11.
[LOG] Manager::init                            :     maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            :     Initialize version=11011 (100047), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               :     Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       :     Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       :     Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 0000000056768CE8
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 000000004CD4B3C8
[LOG] OutputWASAPI::init                       :     Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       :     Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       :     Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       :     manager 000000004253E308 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       :     done
[LOG] PlaybackSystem::init                     :     
[LOG] Thread::initThread                       :     Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     :     done
[LOG] Thread::initThread                       :     Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            :     done.
[LOG] Manager::readBank                        :     fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 000000004CD4B3C8
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] SoundI::release                          :  (0000000056B8DBA8)
[LOG] SoundI::release                          :     Lock_1 (0000000056B7E2D8)
[LOG] SoundI::release                          :  (0000000042B11058)
[LOG] SoundI::release                          :     Lock_2 (0000000056B7A9F8)
[LOG] SoundI::release                          :  (0000000042661DA8)
[LOG] SoundI::release                          :     Lock_3 (0000000056B680D8)
[LOG] SoundI::release                          :  (00000000174A0858)
[LOG] SoundI::release                          :     Lock_4 (0000000044011C58)
[LOG] SoundI::release                          :  (0000000056B8D478)
[LOG] SoundI::release                          :     Lock_5 (0000000056B7DDF8)
[LOG] SoundI::release                          :  (0000000042662D78)
[LOG] SoundI::release                          :     Lock_6 (0000000056B666D8)
[LOG] SoundI::release                          :  (0000000042661508)
[LOG] SoundI::release                          :     Lock_7 (0000000056B692B8)
[LOG] SoundI::release                          :  (0000000056B8FE28)
[LOG] SoundI::release                          :     Lock_8 (0000000056B7E7B8)
[LOG] SoundI::release                          :  (0000000056B8D308)
[LOG] SoundI::release                          :     Card Stuff_1 (0000000056B7C598)
